,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2326,28,305,4.8,0,0,1,0,24,45,7,7,0,0,0,0,1,0,0,0,0,1,17,2.0,0
2327,40,650,5.0,0,0,0,0,9,4,6,0,0,0,7,0,0,0,0,0,0,1,1,13.0,0
2328,22,118,5.0,0,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0,1,1,3.0,0
2329,40,24,0.0,0,1,0,0,0,2,6,5,5,7,0,0,0,3,0,0,0,1,0,1.0,0
2330,53,38,5.0,0,0,1,0,3,3,6,5,0,0,0,0,0,7,0,0,0,1,0,1.0,0
2331,84,14,0.0,0,1,0,0,0,2,6,5,0,0,0,0,0,5,0,0,0,1,0,1.0,0
2332,156,75,4.7,0,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1
2333,20,4079,4.9,0,0,1,0,99,67,7,0,0,0,0,0,0,0,0,0,6,1,4,2.0,0
2334,68,151,5.0,0,0,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2335,28,161,5.0,0,0,1,0,5,4,7,0,0,0,0,0,0,0,0,0,0,1,2,16.0,0
2336,140,1288,4.8,0,0,1,0,47,6,6,0,0,0,0,0,0,5,0,0,0,6,0,1.0,1
2337,72,332,5.0,0,0,1,0,10,6,7,3,7,0,0,0,0,0,0,0,7,1,1,16.0,0
2338,68,769,5.0,0,0,0,1,3,13,7,0,0,0,0,0,0,0,0,0,0,1,2,5.0,0
2339,62,77,4.4,0,0,0,0,2,2,5,0,2,7,0,0,0,0,0,0,5,2,0,1.0,0
2340,25,168,5.0,0,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2341,93,584,4.9,0,0,0,0,9,5,7,0,0,0,0,0,0,5,0,0,0,1,0,1.0,0
2342,47,14,0.0,0,1,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2343,12,772,5.0,0,0,0,0,29,32,7,0,0,0,0,0,0,0,0,0,7,1,1,1.0,0
2344,78,14,5.0,0,0,0,0,1,4,6,5,0,0,7,0,0,0,0,0,5,1,1,1.0,0
2345,40,605,4.9,0,0,1,0,19,6,6,0,0,0,7,0,0,0,0,0,0,2,0,1.0,0
2346,9,85,5.0,1,0,0,0,1,3,5,0,3,0,0,0,0,0,0,0,0,1,5,2.0,0
2347,31,4518,4.9,0,0,1,0,37,10,7,0,0,0,0,0,0,0,0,0,0,1,7,1.0,0
2348,12,131,4.5,0,0,0,0,8,13,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2349,22,1061,5.0,0,0,0,1,16,22,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
